Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
CWP Young Writers	1	1	1	1	7	0	3	2	0	4	3	2	3	2	2	1	1	3	8	0	3	2	3	6	4	0	5	3	3	0	4	0	12	1	0	5	0	1	0	1	1	2	2	1	6	0	1	1	0	1	0	0	0	0	0	8	0	0	6	2	4	7	2	0	9	2	4	5	10	5	1	2	2	3	0	0	4	3	0	0	0	1	5	1	4	0	2	3	1	0	4	1	1	5	1	1	0	2	0	2	0	0	1	3	0	3	7	0	0	2	1	0	0	0	0	0	12	0	4	2	1	2	1	2	0	5	9	2	2	3	0	0	7	2	3	2	4	1	1	0	0	2	4	10	3	0	0	0	8	0	1	1	4	2	2	1	1	3	1	0	0	0	1	2	0	3	0	0	1	1	4	1	0	0	5	1	0	0	4	1	7	1	0	2	1	0	4	6	4	5	0	2	0	4	2	6	0	4	7	0	0	1	0	0	2	1	1	3	0	3	2	5	0	0	2	0	5	1	1	2	1	1	0	2	2	3	0	0	1	2	1	1	3	1	1	0	1	0	3	3	3	2	0	0	2	1	0	2	4	0	0	1	1	0	0	0	0	0	2	4	2	3	1	2	2	3	0	0	2	6	1	0	4	0	0	5	2	5	3	1	3	1	4	0	2	1	1	3	2	2	2	1	5	1	1	4	2	1	3	2	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	0	2	0	0	0	8	0	1	0	3	1	0	1	10	1	1	2	2	0	0	2	0	1	3	2	5	0	1	1	0	15	2	2	1	0	0	0	5	5	0	0	0	0	5	5	0	1	5	1	12	2	1	0	1	2	1	0	0	0	1	0	2	1	0	2	1	1	0	0	3	1	4	2	0	1	0	2	0	1	0	1	2	3	2	0	2	1	0	0	0	2	2	0	1	1	2	1	1	0	0	0	0	2	0	1	1	1	5	0	0	3	3	0	0	2	2	1	0	0	0	0	3	1	1	2	1	7	2	1	0	0	0	1	1	0	0	2	8	1	0	2	2	2	1	0	0	0	1	2	2	1	1	0	0	2	1	0	0	2	2	0	0	0	0	1	0	2	1	4	0	3	0	0	0	0	1	1	5	0	4	0	3	2	2	3
Through My Eyes	3	1	4	1	3	2	3	1	1	3	8	0	14	5	1	10	12	2	3	12	1	11	5	3	3	5	7	11	8	6	7	13	9	2	7	9	2	7	4	8	24	4	1	3	6	8	4	6	11	8	6	4	5	1	7	3	10	2	68	6	4	3	20	5	0	5	5	6	1	3	4	7	3	7	2	8	6	2	4	0	42	4	0	4	7	9	13	5	9	5	4	1	2	11	6	2	8	22	6	1	1	3	10	9	0	8	6	3	5	0	19	14	10	9	3	11	7	3	2	9	2	10	10	2	1	9	4	3	1	3	12	1	10	2	12	1	6	14	31	0	1	14	0	0	7	3	3	2	2	3	4	7	3	10	0	2	3	1	5	4	0	9	7	6	5	5	3	6	9	3	10	2	6	6	8	2	1	4	0	1	6	13	0	5	3	26	0	2	3	3	2	8	8	10	16	5	0	7	6	6	1	9	1	4	4	7	6	2	5	35	2	2	2	6	11	11	5	2	8	6	7	19	4	0	13	5	2	5	1	2	7	3	5	10	1	5	7	7	10	3	1	5	3	7	2	21	0	3	5	1	4	1	4	4	6	6	1	5	2	5	7	0	2	8	1	2	3	10	17	5	25	14	4	2	1	5	2	3	14	7	2	6	1	3	9	8	5	1	5	9	8	8	5	5	7	6	2	8	4	4	5	7	2	2	7	21	16	11	7	12	4	0	4	8	3	1	4	3	3	2	14	3	5	6	6	4	3	6	2	3	1	2	4	0	3	2	6	3	8	11	5	3	1	3	1	1	7	1	12	1	8	17	1	5	1	6	4	1	3	10	5	2	4	0	4	5	6	3	3	4	4	4	4	1	5	16	7	8	4	16	1	4	4	6	3	3	0	2	7	2	10	6	0	15	2	3	3	2	11	19	5	4	2	0	14	4	9	3	5	9	15	5	4	3	10	12	3	3	4	7	16	11	4	5	1	0	6	17	0	0	3	5	2	5	1	32	0	7	0	10	0	9	47	2	1	1	6	6	0	17	2	2	2	11	8	0	51	6	8	0	7	4	9	5	1	42	0	18	15	4	5	9	3	1	3	2	8	11	1	4	2	4	4	3	4	9	4	1	11	2	4	10	2	5	2	22	3	4	16	1
Mahler Owes Me Ten Bucks	11	1	6	37	6	6	11	30	7	0	167	7	16	25	48	4	24	1	10	3	9	6	4	6	13	3	11	1	12	2	19	13	15	16	14	5	4	22	16	7	7	3	42	12	18	8	38	19	13	8	9	23	1	6	9	5	14	10	0	0	14	18	7	6	15	14	2	24	4	18	4	8	10	39	13	1	4	3	7	12	30	47	12	22	8	12	12	13	5	4	6	18	10	37	39	9	6	13	17	7	12	2	17	7	5	10	7	9	5	20	117	30	12	6	5	30	4	9	31	5	16	1	9	2	6	1	7	31	5	8	0	17	2	5	5	7	0	3	3	2	5	4	3	11	10	23	7	3	22	21	20	10	3	20	3	40	25	7	27	5	12	7	58	6	7	9	7	1	8	6	11	19	8	8	9	8	8	16	2	3	4	10	32	1	9	0	23	108	3	53	6	4	5	13	37	1	7	23	5	146	10	5	22	7	9	11	5	15	7	10	5	7	9	4	17	60	20	15	17	10	1	7	22	4	1	3	1	9	8	8	1	10	8	1	5	1	1	0	11	13	14	9	10	1	0	23	6	25	8	14	500	6	6	17	7	10	6	16	12	5	11	5	5	6	12	7	9	37	20	11	2	2	15	3	1	4	7	22	25	22	7	4	8	99	0	20	49	5	1	19	2	3	7	7	5	16	9	10	0	1	22	3	1	3	2	6	39	4	1	21	4	3	2	3	3	62	8	6	7	5	2	80	3	3	5	41	1	2	38	3	1	15	2	1	4	13	12	1	9	25	3	9	10	7	23	20	2	4	11	16	7	7	12	0	5	4	1	6	10	4	0	6	27	0	3	3	12	3	15	12	14	2	31	20	6	5	4	3	6	6	1	10	0	10	0	7	62	2	8	9	3	9	4	4	3	9	3	2	0	20	1	4	23	6	11	12	4	10	5	1	12	11	15	4	1	5	15	28	23	17	28	3	11	8	13	19	33	2	4	1	13	70	4	8	9	16	12	4	11	27	2	1	27	11	1	0	0	15	12	8	7	6	10	4	2	37	14	5	10	3	2	8	2	11	2	1	65	22	16	6	2	6	9	15	20	10	1	10	11	12	1	7	13	3	6	2	4	4	3	13	1	0	2	33	6	4	4	2	3	24
A Digital Moleskin	2	0	0	0	0	0	2	7	0	2	8	1	0	0	18	0	2	13	2	0	2	0	1	0	0	2	1	0	1	1	1	2	1	0	2	1	0	1	3	0	3	1	1	1	2	1	1	1	4	9	3	3	7	9	5	2	3	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	3	1	3	0	0	11	3	0	4	1	2	1	1	1	3	0	0	2	5	0	1	1	3	2	2	2	5	0	0	0	0	3	6	1	0	3	4	6	7	2	1	1	2	0	0	0	1	1	9	2	0	2	3	0	1	0	0	0	4	0	1	0	0	0	0	1	1	4	0	1	1	0	6	2	1	1	2	0	2	0	0	0	0	5	0	0	0	1	0	0	11	0	3	0	4	3	1	2	1	1	3	1	1	0	2	1	3	0	0	1	0	0	6	1	1	1	1	2	2	1	0	0	0	2	1	1	1	0	2	0	0	2	1	2	1	2	4	1	1	0	2	1	0	0	2	10	1	0	0	5	0	2	1	2	0	6	14	0	1	1	1	1	1	4	0	5	2	0	6	1	0	0	1	4	2	1	4	12	0	1	0	2	1	3	1	2	2	1	1	3	1	0	0	0	8	7	0	3	1	4	7	0	0	0	1	1	4	0	0	0	4	0	5	0	3	1	2	1	6	0	0	4	3	0	2	10	0	1	0	0	1	2	1	4	0	14	0	0	1	0	0	0	1	2	2	0	0	0	0	1	2	1	1	1	0	1	0	0	0	2	1	0	6	0	0	1	16	0	0	1	2	1	0	0	0	21	0	1	2	2	0	0	1	2	0	2	12	3	2	0	0	0	2	0	2	1	1	1	0	3	6	0	1	1	0	0	2	0	1	0	3	0	3	8	10	1	0	0	0	4	0	2	1	0	1	3	1	1	0	0	2	0	3	10	0	0	0	1	0	0	0	9	0	0	0	0	0	2	0	1	1	2	1	1	0	1	0	0	0	0	1	0	21	2	3	1	2	0	0	4	0	0	2	1	0	0	1	3	1	1	0	1	0	0	2	0	0	14	1	0	0	0	2	0	0	0	2	0	6	2	1	0	4	1	5	6	1	1	0	0	0	3	0	3	0	1	2	0	0	1	1	2	0	0	1	0	0
It's all about me!   & and a little about them............	6	8	40	64	0	6	13	27	2	9	3	5	2	3	24	6	0	3	0	0	4	0	6	0	7	15	7	4	4	6	0	16	2	5	4	3	9	2	0	1	0	4	8	5	0	8	1	24	2	27	3	0	10	0	4	5	1	0	0	2	2	3	0	7	4	9	2	1	2	12	2	40	7	2	6	100	2	3	3	5	74	0	3	3	1	2	0	1	1	40	0	14	8	0	1	6	2	3	2	9	1	5	5	4	4	9	6	1	0	8	10	1	23	24	0	5	1	3	0	4	1	2	7	5	5	0	13	1	1	6	1	7	1	5	19	8	4	0	2	15	1	1	3	9	0	8	7	4	7	4	6	0	4	9	5	5	0	0	0	1	8	7	9	6	0	6	2	0	4	11	7	2	16	0	2	2	1	8	0	4	0	4	1	6	4	21	3	5	2	2	4	5	14	3	2	2	5	6	1	1	10	4	8	8	3	9	0	6	8	0	1	5	7	19	2	1	0	3	3	5	0	2	12	1	0	0	1	0	4	22	12	1	1	15	2	7	0	6	1	8	0	1	2	8	7	2	7	0	509	3	4	0	3	0	0	0	5	0	9	2	7	11	2	0	5	6	13	0	1	1	1	4	4	16	33	3	1	1	6	2	0	2	7	0	2	17	53	43	1	3	1	1	0	0	0	6	9	0	10	0	13	2	5	2	5	2	1	0	42	5	1	2	3	1	3	3	2	3	1	2	0	0	1	3	1	3	6	4	0	2	2	2	0	2	6	3	2	7	0	6	1	6	0	3	2	1	1	1	3	5	0	3	0	1	1	3	7	3	2	0	7	5	3	1	3	3	10	3	5	5	3	2	3	3	0	3	1	1	6	1	1	2	1	3	0	3	5	1	8	0	3	2	0	2	3	3	4	2	3	1	2	3	6	1	3	8	2	1	0	0	0	1	0	7	3	0	4	1	2	2	1	5	6	2	5	0	2	0	51	1	3	15	0	10	0	1	0	0	5	1	0	0	2	2	5	10	4	1	1	4	7	0	3	2	1	3	0	2	2	0	13	5	6	16	2	4	0	0	0	12	0	5	23	0	3	10	9	3	1	2	0	2	1	0	5	0	0	3	3	2	2	0	4	3	4	0	4	6	1	2
The days of our lives	1	10	7	3	1	6	0	7	8	3	1	3	4	1	4	4	0	9	6	0	3	2	2	0	0	6	1	2	1	2	2	0	0	3	0	3	10	4	0	4	1	0	1	6	3	5	5	1	1	2	2	1	5	13	5	0	13	2	5	5	1	1	0	0	1	3	0	1	1	3	1	3	4	4	3	5	4	1	3	3	1	0	0	3	0	2	4	3	2	2	0	10	0	5	3	5	0	3	2	4	1	3	1	1	1	2	1	1	0	2	8	1	1	0	4	4	3	3	0	2	1	1	1	3	1	2	1	3	1	3	7	2	2	4	1	8	3	5	0	4	3	3	6	0	1	2	0	8	0	2	4	2	3	3	0	0	4	0	2	6	6	0	1	0	8	2	0	2	2	2	1	5	6	1	5	3	3	1	2	5	0	3	0	0	5	0	0	3	2	1	4	2	1	1	0	25	14	0	2	3	3	0	8	3	1	2	3	1	4	2	3	1	5	3	2	4	4	1	1	2	1	10	0	0	3	1	1	2	6	0	0	2	1	0	3	6	1	5	0	4	2	10	2	5	0	4	4	4	1	5	0	2	1	2	1	11	0	0	2	1	2	4	0	1	5	0	1	5	0	1	1	1	1	1	4	3	0	1	0	0	5	3	4	1	3	7	2	6	1	3	1	4	1	1	2	0	1	0	0	1	0	2	1	13	1	0	7	0	0	1	0	2	4	0	2	5	0	4	2	6	1	0	17	3	8	0	3	1	1	0	2	8	1	1	1	3	2	1	0	0	0	3	3	1	0	0	1	1	1	4	3	4	1	2	3	2	4	0	2	0	3	2	4	3	0	2	0	2	1	2	0	0	0	6	3	0	0	2	1	1	3	2	5	1	0	5	0	6	2	3	0	5	2	4	2	0	7	1	9	1	2	0	1	2	2	2	2	0	0	0	1	1	0	6	2	7	2	2	0	1	0	0	1	1	6	1	1	2	12	0	3	4	2	4	0	1	2	4	0	3	0	3	0	2	3	22	5	4	0	0	3	1	1	3	2	0	0	0	0	0	3	3	1	1	3	0	4	4	2	0	4	57	0	0	0	2	8	2	6	2	3	1	3	1	0	1	1	5	0	1	1	2	2	4	3	3	2	1	5	0
Air Balls and Air Guitar	18	17	4	1	7	6	9	8	3	7	5	4	23	7	7	4	18	6	2	23	1	14	10	9	12	1	3	8	17	3	12	4	9	15	10	3	5	14	5	7	23	9	8	4	14	7	12	6	10	20	18	9	2	5	15	4	10	21	21	12	4	3	12	12	4	3	19	11	39	29	5	4	10	4	8	3	8	10	2	7	9	12	5	8	8	18	8	8	7	2	34	18	13	35	11	7	56	12	5	5	11	3	34	7	3	3	5	7	9	1	11	63	2	12	12	18	21	7	9	8	21	23	9	4	6	46	6	13	7	3	27	5	10	16	8	9	4	4	22	2	3	9	1	7	8	2	9	7	9	6	8	9	27	14	8	14	25	8	27	9	43	4	7	8	13	7	11	12	2	5	13	1	12	5	3	4	16	13	6	2	11	11	3	9	4	201	29	15	19	6	3	3	23	12	14	7	1	7	11	10	6	21	10	8	10	5	4	5	8	25	13	2	7	0	5	8	8	3	3	4	22	3	3	15	7	8	8	8	3	2	13	11	9	11	8	4	7	4	16	39	11	11	4	13	2	15	2	3	5	7	10	9	7	1	13	8	5	15	14	6	5	12	5	42	9	1	5	3	7	3	8	6	4	1	6	6	31	9	14	8	6	7	8	8	6	8	1	4	5	1	1	5	18	7	10	6	4	5	8	41	6	6	1	8	11	5	6	25	5	8	6	5	10	2	1	24	4	3	10	19	4	22	4	1	3	8	3	19	4	5	3	9	10	9	10	0	4	9	14	2	7	2	1	8	11	6	10	1	5	2	4	7	16	8	9	12	6	2	3	4	0	6	9	11	3	13	3	2	2	13	10	11	9	1	2	4	17	10	18	9	2	26	9	3	10	7	13	1	3	6	26	3	3	5	9	5	1	5	3	37	8	2	4	7	7	13	1	32	12	9	11	6	4	1	4	10	12	8	35	8	10	7	18	11	8	16	8	78	3	10	4	8	8	8	8	4	11	1	18	16	3	1	25	27	2	0	6	10	4	6	3	2	6	6	2	3	5	5	9	5	3	5	5	16	3	2	53	14	31	5	8	1	8	5	0	7	9	2	10	12	1	10	14	9	4	27	3	3	8	2	5	11	6	7	1	5	8	11	3	12
Jason, Sarah, Tristan, Wade, and Owen	0	28	2	0	2	2	2	6	2	3	4	5	2	1	13	0	0	12	5	1	11	9	38	4	4	2	1	8	6	1	0	14	0	1	3	4	13	16	2	7	5	1	9	15	1	0	6	5	0	1	3	5	9	19	8	2	21	13	0	24	1	5	24	2	1	4	0	4	5	1	11	4	12	23	5	2	12	1	5	14	1	1	9	5	1	1	5	6	2	8	1	9	2	2	5	8	2	6	5	13	1	6	1	1	1	10	8	5	2	4	10	0	5	1	4	1	0	1	3	0	1	12	3	5	3	2	2	13	4	5	15	5	5	0	11	18	4	2	3	1	2	7	20	0	1	1	4	5	8	2	1	1	42	4	16	4	1	10	1	4	10	2	4	4	9	0	4	11	7	4	3	6	1	0	11	5	2	2	7	4	2	0	3	10	4	0	1	6	7	3	3	8	2	5	4	46	16	4	1	0	28	1	6	0	5	2	5	2	11	1	5	1	7	5	4	13	0	5	5	0	27	11	2	0	5	5	1	2	8	0	9	2	2	4	0	2	0	10	0	6	3	9	15	2	9	4	11	1	1	6	4	4	5	20	0	4	4	13	6	4	6	1	6	0	2	1	0	0	4	5	2	3	1	6	7	0	3	1	0	1	6	4	2	1	3	2	10	4	5	7	2	2	2	4	0	17	14	2	7	119	10	2	25	5	2	3	0	7	0	1	11	11	10	0	5	4	3	11	3	18	0	1	17	1	6	0	7	0	1	2	3	3	2	5	2	1	6	4	3	8	12	0	6	2	6	3	12	7	3	1	2	0	3	2	12	4	5	5	6	6	3	10	3	6	3	6	2	4	6	5	2	2	1	8	11	1	4	2	5	3	4	0	2	5	0	8	2	57	9	10	2	1	8	1	5	2	13	11	56	7	2	1	7	7	5	1	5	1	1	4	2	10	2	0	3	4	10	3	6	0	2	1	0	1	1	1	0	2	18	12	22	0	6	2	2	1	1	2	4	0	18	0	4	2	4	2	14	0	15	0	2	2	13	0	4	0	0	2	1	0	0	6	9	1	3	1	3	2	0	3	2	4	0	1	1	1	8	6	7	0	1	9	1	1	3	28	2	10	4	7	9	4	18	2	4	0	5	3	3	1
The Riddle Rambler	1	1	0	1	1	0	2	2	0	4	1	1	0	2	4	5	1	2	5	1	3	3	1	3	2	1	1	2	5	4	1	3	2	1	3	1	0	2	0	4	3	3	4	1	0	0	1	1	0	1	3	2	3	3	2	0	2	1	0	0	0	0	2	2	2	1	1	1	0	0	2	0	1	0	4	1	3	2	3	0	3	2	1	0	2	1	5	0	0	2	1	0	0	0	1	4	0	0	0	3	0	0	5	5	3	3	6	0	0	1	0	1	1	1	0	1	1	0	1	3	1	4	2	0	0	3	4	0	2	3	4	2	5	2	0	3	0	1	1	2	2	0	5	2	3	1	1	3	2	3	3	0	1	1	4	3	0	0	1	0	4	0	2	0	1	0	8	1	2	1	0	6	1	0	0	1	5	1	1	2	3	3	1	0	1	0	0	4	0	1	0	1	0	0	1	5	1	0	0	0	2	3	0	1	1	2	0	1	1	0	8	2	3	0	1	5	1	2	0	0	4	0	1	0	0	0	0	1	2	1	3	0	0	2	0	0	13	1	0	3	3	7	0	4	0	2	0	5	4	2	0	3	0	0	1	1	3	5	1	0	0	1	2	1	2	1	1	0	0	7	0	0	1	0	0	1	4	2	1	2	1	3	1	10	2	2	1	2	2	0	1	0	0	5	0	2	2	0	0	2	2	1	2	0	3	0	0	0	0	1	2	0	5	0	3	0	1	3	4	0	1	1	3	0	6	2	0	0	2	3	3	11	3	0	2	0	1	0	0	0	0	0	2	2	3	2	1	0	0	2	0	0	0	0	2	0	1	1	1	2	1	2	4	3	1	1	0	0	1	1	1	0	0	4	2	1	0	0	5	0	0	4	0	3	1	3	1	1	0	1	0	1	2	0	0	1	1	2	5	0	1	1	1	0	0	2	3	1	3	2	0	2	2	2	1	1	3	2	0	1	0	0	3	6	0	0	0	0	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	1	2	0	2	0	1	0	2	4	7	5	0	1	0	4	3	0	0	3	1	0	0	0	0	0	4	3	0	3	1	1	0	1	1	1	1	0	1	0	1	2	1	0	0	1	2	2	1	0	1	0	0	0	1	0	6	1
At the 'Rail'	2	0	1	25	0	1	2	0	1	8	2	1	3	1	2	3	0	3	0	4	1	1	3	3	4	32	1	8	1	0	0	28	0	0	3	0	4	0	2	0	1	2	0	2	0	5	0	1	0	0	0	0	0	0	1	2	0	0	1	1	1	1	3	1	3	1	1	0	7	2	3	3	5	4	0	0	1	5	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	3	3	2	3	1	2	3	0	0	0	1	0	0	1	1	0	0	1	34	1	0	2	0	1	0	1	0	2	0	2	9	0	3	0	1	9	0	0	0	1	4	0	1	8	1	1	1	1	3	0	0	4	0	3	2	0	2	1	1	0	4	0	0	4	8	1	0	0	2	0	0	2	6	0	0	2	0	1	1	2	2	0	3	3	1	1	0	0	2	3	4	0	2	0	1	1	3	1	4	2	0	2	0	0	0	2	2	3	2	1	1	0	1	0	1	2	2	0	1	35	0	2	0	1	2	1	3	1	1	1	0	0	2	1	1	2	2	0	0	2	1	1	0	4	1	1	2	0	1	3	2	0	1	0	7	3	4	4	1	0	3	0	1	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	2	1	0	0	0	0	1	0	1	1	9	12	0	0	0	0	0	13	3	0	0	1	1	0	0	2	1	1	1	1	0	0	3	0	0	2	1	11	0	1	1	0	0	0	3	0	0	5	2	0	0	0	2	1	1	1	1	1	0	1	2	2	0	0	0	5	0	1	0	0	1	1	1	0	0	1	1	1	0	1	2	1	0	4	0	1	0	0	1	1	0	2	1	0	0	1	1	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	6	0	5	0	0	0	1	1	1	1	0	2	3	3	5	3	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	3	0	0	3	0	7	1	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	1	3	0	0	0	0	0
This chick is fascinating!	0	4	2	6	2	0	1	5	4	0	3	0	4	1	3	3	0	6	0	0	5	1	0	0	0	2	2	0	5	0	2	3	3	1	2	1	5	4	1	3	0	2	0	1	2	3	2	0	0	10	0	2	5	6	1	2	2	5	3	7	4	1	1	2	3	0	1	2	1	1	1	2	1	3	3	5	1	2	0	10	1	2	2	0	2	3	1	1	0	0	2	3	1	3	0	4	2	2	0	2	2	7	0	4	2	1	1	3	1	5	2	0	6	4	2	1	2	4	5	8	2	5	4	0	9	2	4	3	2	3	2	3	1	2	3	9	6	3	0	2	2	3	4	1	3	0	3	6	0	1	2	0	2	0	3	5	2	1	1	1	3	0	1	4	2	2	3	3	1	0	2	4	2	0	7	7	2	2	1	4	2	4	1	3	1	13	1	5	1	7	4	3	2	4	0	2	11	3	3	0	3	0	5	4	1	4	2	1	3	1	4	1	2	1	1	3	0	6	0	0	4	5	4	2	0	0	3	1	6	0	1	1	0	1	0	4	4	32	3	2	0	1	3	1	0	0	5	2	0	3	5	1	4	0	1	0	0	0	0	1	2	0	0	0	2	0	2	0	5	0	2	1	1	10	3	5	0	1	0	0	4	3	2	1	7	2	9	3	6	2	3	3	1	1	4	2	0	0	3	2	1	2	0	3	1	2	3	1	3	2	1	12	5	0	5	3	2	8	3	1	3	0	6	11	1	2	0	0	1	1	4	0	4	0	4	1	1	0	1	2	1	3	0	0	3	3	1	0	0	0	0	0	0	2	0	1	10	2	0	1	2	0	2	4	1	0	0	3	6	0	0	0	0	1	0	0	1	2	0	2	1	2	4	0	0	3	1	3	3	1	1	1	2	3	4	0	5	3	1	0	0	1	1	1	0	5	2	0	0	1	0	2	3	6	9	3	8	1	1	2	1	0	0	1	6	3	0	1	11	2	1	1	1	1	0	0	1	3	2	0	3	0	0	0	3	1	33	0	5	1	1	0	1	5	1	6	0	1	1	0	11	3	0	0	1	1	1	0	0	1	0	5	4	1	1	3	3	13	1	8	4	2	3	0	3	3	5	1	0	4	1	1	4	5	0	1	1	0	0	0
100% ALC, Premo, Jake one, 9th Wonder, Khrysis, Sid Roams, EL-P, Rjd2...___    _____R.I.P. CAMU TAO	10	1	0	2	1	0	1	0	0	0	4	0	2	0	0	1	0	0	1	28	0	0	0	0	5	0	4	32	0	0	2	3	1	10	3	3	0	0	28	0	9	4	0	0	1	7	0	0	1	1	0	0	8	0	0	3	1	0	0	0	0	2	0	2	0	0	12	0	3	1	0	0	0	0	0	0	0	2	0	0	27	0	0	0	10	0	26	0	1	0	3	0	1	0	0	0	0	1	2	0	1	2	1	0	1	1	0	0	1	3	0	0	0	0	2	3	1	0	11	0	3	4	0	4	0	9	0	0	0	0	0	0	5	0	0	2	10	2	34	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	0	4	1	0	0	0	0	0	0	0	1	5	2	0	2	0	0	1	1	0	1	0	0	0	0	0	6	1	2	0	12	8	0	0	0	0	2	2	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	3	0	0	1	11	0	0	0	2	0	0	0	0	0	0	0	2	6	0	0	9	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	6	0	0	0	0	0	3	0	3	0	13	0	0	0	1	0	1	5	0	1	0	0	0	4	0	0	2	4	1	2	0	11	0	1	0	0	3	0	8	1	0	3	8	3	0	2	1	2	0	0	0	1	11	1	0	3	0	0	4	5	0	0	0	0	0	2	3	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	7	0	14	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	2	1	6	1	0	0	0	0	0	0	5	0	0	0	0	9	3	0	3	1	1	2	0	0	0	1	0	0	0	2	0	2	0	1	9	12	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	1	2	0	0	10	5	8	6	0	0	0	0	1	0	0	0	0	4	2	0	0	3	0	1	0	0	0	7	0	0	1	1	0	4	0	0	0	2	1	4	2	2
